CO_MUP;VA_NO_VOIE;geo_point_2d;COM_INSEE;LB_VOIE;Geo Shape;COMMUNE
A0Q6A7;0;48.6786389735, -1.86585638573;35049;ZONE ARTISANALE LA BRETONNIERE;"{""type"": ""Point"", ""coordinates"": [-1.865856385726637, 48.678638973507]}";CANCALE
A0Q2M5;44;48.6752733353, -1.852204222;35049;RUE DU PORT;"{""type"": ""Point"", ""coordinates"": [-1.852204221998566, 48.6752733352998]}";CANCALE
A2I0P4;0;48.694474092, -1.87032343256;35049;RUE DE LA GAUDICHAIS;"{""type"": ""Point"", ""coordinates"": [-1.870323432555153, 48.69447409204436]}";CANCALE
A2G5F7;2;48.6772678776, -1.8511226443;35049;RUE DU PORT;"{""type"": ""Point"", ""coordinates"": [-1.851122644295753, 48.67726787761899]}";CANCALE
A2I0P3;0;48.6924022727, -1.88241008674;35049;LE VERGER;"{""type"": ""Point"", ""coordinates"": [-1.882410086736457, 48.692402272669064]}";CANCALE
A2I0R2;0;48.6744428338, -1.86030697598;35049;AVENUE PASTEUR;"{""type"": ""Point"", ""coordinates"": [-1.860306975982716, 48.674442833750206]}";CANCALE
A2I0Q1;9;48.7002871502, -1.85001490372;35049;RUE HENRI LAURENT;"{""type"": ""Point"", ""coordinates"": [-1.850014903715155, 48.700287150235994]}";CANCALE
A2I0Q7;6;48.6858817528, -1.85099278352;35049;RUE DE L ILE DES LANDES;"{""type"": ""Point"", ""coordinates"": [-1.850992783523581, 48.685881752798494]}";CANCALE
A2I0P0;1;48.671014386, -1.86560340184;35049;RUE DE LA VILLE ES GRIS;"{""type"": ""Point"", ""coordinates"": [-1.865603401842594, 48.67101438601383]}";CANCALE
A0Q2M4;2;48.670983634, -1.85323396541;35049;QUAI GAMBETTA;"{""type"": ""Point"", ""coordinates"": [-1.853233965405946, 48.670983634000464]}";CANCALE
A0Q2S5;20;48.5638702117, -1.92709062121;35070;RUE DU FORT;"{""type"": ""Point"", ""coordinates"": [-1.927090621213964, 48.563870211735555]}";CHÂTEAUNEUF-D'ILLE-ET-VILAINE
A0Q2S3;1;48.5597512363, -1.93086692102;35070;BOULEVARD DE LA RANCE;"{""type"": ""Point"", ""coordinates"": [-1.930866921022586, 48.559751236320906]}";CHÂTEAUNEUF-D'ILLE-ET-VILAINE
A0Q5T0;9;48.6867256176, -1.89157930996;35263;RUE DE TANNEE;"{""type"": ""Point"", ""coordinates"": [-1.891579309964068, 48.686725617610676]}";SAINT-COULOMB
A0Q5I2;16;48.6589426481, -1.98540160945;35288;BOULEVARD DE ROCHEBONNE;"{""type"": ""Point"", ""coordinates"": [-1.985401609452226, 48.65894264811443]}";SAINT-MALO
A0Q5J2;43;48.6509988204, -1.98260370345;35288;RUE DU PONT PINEL;"{""type"": ""Point"", ""coordinates"": [-1.982603703454854, 48.650998820362446]}";SAINT-MALO
A0Q5K0;1;48.6521762669, -2.00978409913;35288;BOULEVARD DE LA REPUBLIQUE;"{""type"": ""Point"", ""coordinates"": [-2.009784099130352, 48.652176266920534]}";SAINT-MALO
A0Q5M1;57;48.6204976233, -1.99749895952;35288;RUE DU TERTRE VERRINE;"{""type"": ""Point"", ""coordinates"": [-1.997498959519726, 48.62049762332249]}";SAINT-MALO
A0Q5I1;0;48.6574923986, -1.99628488305;35288;BOULEVARD CHATEAUBRIAND;"{""type"": ""Point"", ""coordinates"": [-1.996284883045022, 48.65749239860303]}";SAINT-MALO
A0Q5J7;36;48.6360318125, -2.01467941753;35288;RUE VILLE PEPIN;"{""type"": ""Point"", ""coordinates"": [-2.014679417525684, 48.63603181251328]}";SAINT-MALO
A0Q5M0;2;48.6190080851, -2.00328598242;35288;RUE DU TERTRE VERRINE;"{""type"": ""Point"", ""coordinates"": [-2.003285982418558, 48.619008085053366]}";SAINT-MALO
A6Z0W1;7;48.6134950342, -1.97593830911;35288;ALLEE METIS;"{""type"": ""Point"", ""coordinates"": [-1.975938309106945, 48.61349503422184]}";SAINT-MALO
A0Q5K5;4;48.6492310823, -2.02749415378;35288;PLACE DES FRERES LAMENNAIS;"{""type"": ""Point"", ""coordinates"": [-2.027494153780258, 48.64923108233314]}";SAINT-MALO
A4B8Q6;0;48.6470238049, -2.00436510627;35288;AVENUE ANITA CONTI;"{""type"": ""Point"", ""coordinates"": [-2.004365106268056, 48.647023804943295]}";SAINT-MALO
A2H9I3;38;48.6577296453, -1.96130456796;35288;RUE DE LA FONTAINE AUX PELERINS;"{""type"": ""Point"", ""coordinates"": [-1.961304567957912, 48.657729645301345]}";SAINT-MALO
A6Y3F0;54;48.6386603948, -2.0173175368;35288;RUE GEORGES CLEMENCEAU;"{""type"": ""Point"", ""coordinates"": [-2.017317536795838, 48.63866039475388]}";SAINT-MALO
A6Z8X1;0;48.6815474408, -1.9678952222;35288;PLACE DU CANADA;"{""type"": ""Point"", ""coordinates"": [-1.967895222197591, 48.6815474407953]}";SAINT-MALO
A0Q5I6;0;48.6360868338, -1.99003242498;35288;AVENUE DU GENERAL DE GAULLE;"{""type"": ""Point"", ""coordinates"": [-1.990032424975071, 48.636086833790614]}";SAINT-MALO
A0Q5I9;0;48.6354078023, -2.02356382487;35288;ESPLANADE DU COMMANDANT MENGUY;"{""type"": ""Point"", ""coordinates"": [-2.023563824871224, 48.635407802302815]}";SAINT-MALO
A0Q6F5;0;48.6250008231, -2.0020321187;35288;PLACE DU CAPITAINE LESCOT;"{""type"": ""Point"", ""coordinates"": [-2.002032118703526, 48.62500082314933]}";SAINT-MALO
A5Y0N2;6;48.6576716154, -1.98278137881;35288;PLACE GEORGES COUDRAY;"{""type"": ""Point"", ""coordinates"": [-1.982781378811219, 48.65767161535785]}";SAINT-MALO
A0Q5T5;8;48.6370132727, -1.90389229305;35299;PLACE DU SOUVENIR;"{""type"": ""Point"", ""coordinates"": [-1.903892293047028, 48.63701327266002]}";SAINT-MÉLOIR-DES-ONDES
A0Q5T8;0;48.6146419938, -1.90584250489;35299;LE LIMONAY;"{""type"": ""Point"", ""coordinates"": [-1.90584250489459, 48.61464199382136]}";SAINT-MÉLOIR-DES-ONDES
A0Q3Z3;0;48.4862987232, -1.83867660109;35362;LE BAILLAGE;"{""type"": ""Point"", ""coordinates"": [-1.838676601085931, 48.48629872319131]}";LE TRONCHET
A2I0Q5;56;48.6922630292, -1.85418183927;35049;RUE DU BOIS DE CHEVRIER;"{""type"": ""Point"", ""coordinates"": [-1.854181839273977, 48.69226302922577]}";CANCALE
A2I1E0;3;48.6850562549, -1.86843503259;35049;RUE DES DOUETS FLEURIS;"{""type"": ""Point"", ""coordinates"": [-1.868435032585032, 48.68505625487583]}";CANCALE
A0Q2M6;0;48.6701588362, -1.85604220403;35049;POINTE DU GROUIN;"{""type"": ""Point"", ""coordinates"": [-1.856042204032406, 48.670158836160624]}";CANCALE
A0Q6B7;11;48.6055278037, -1.80260281985;35132;RUE DES TOURAILLES;"{""type"": ""Point"", ""coordinates"": [-1.802602819846305, 48.605527803690414]}";HIREL
A0Q4A1;5;48.5137077559, -1.89927494231;35179;PLACE DES 4 FRERES DE VILLELE;"{""type"": ""Point"", ""coordinates"": [-1.899274942313687, 48.51370775590148]}";MINIAC-MORVAN
A0Q5T6;19;48.6745217259, -1.90999899335;35263;GRAND RUE DE LA POSTE;"{""type"": ""Point"", ""coordinates"": [-1.909998993347873, 48.67452172586467]}";SAINT-COULOMB
A0Q5T3;0;48.6914085248, -1.94435756266;35263;LES CHEVRETS;"{""type"": ""Point"", ""coordinates"": [-1.944357562656904, 48.691408524779824]}";SAINT-COULOMB
